April Collections Calls List Angaza ID,April Collections Calls List Date Called Date,April Collections Calls List Reachability
AC514926,4/25/19,Not Reached
AC489861,4/10/19,Reached
AC564319,4/25/19,Not Reached
AC559320,4/18/19,Reached
AC485744,4/8/19,Not Reached
AC527951,4/3/19,Not Reached
AC517168,4/26/19,Not Reached
AC554150,4/4/19,Not Reached
AC565659,4/12/19,Not Reached
AC548545,4/16/19,Reached
AC557341,4/3/19,Not Reached
AC512257,4/11/19,Reached
AC544765,4/9/19,Reached
AC500350,4/3/19,Not Reached
AC515625,4/9/19,Not Reached
AC509530,4/16/19,Not Reached
AC519403,4/24/19,Not Reached
AC544764,4/15/19,Reached
AC525292,4/11/19,Reached
AC532487,4/16/19,Not Reached
AC526668,4/10/19,Reached
AC499691,4/26/19,Reached
AC530582,4/23/19,Not Reached
AC546399,4/2/19,Not Reached
AC548086,4/24/19,Not Reached
AC485420,4/2/19,Not Reached
AC551065,4/15/19,Reached
AC498324,4/26/19,Reached
AC533812,4/16/19,Not Reached
AC534122,4/15/19,Reached
AC548557,4/2/19,Not Reached
AC527988,4/3/19,Not Reached
AC534689,4/4/19,Not Reached
AC545704,4/23/19,Not Reached
AC540316,4/3/19,Not Reached
AC549254,4/15/19,Not Reached
AC510494,4/8/19,Reached
AC535894,4/9/19,Reached
AC554459,4/17/19,Not Reached
AC546922,4/8/19,Not Reached
AC504677,4/11/19,Reached
AC533915,4/6/19,Reached
AC554321,4/23/19,Reached
AC514923,4/23/19,Reached
AC507182,4/24/19,Not Reached
AC554583,4/8/19,Not Reached
AC534252,4/8/19,Not Reached
AC506084,4/8/19,Reached
AC513542,4/9/19,Not Reached
AC557802,4/16/19,Not Reached
AC503684,4/2/19,Not Reached
AC538834,4/3/19,Not Reached
AC491444,4/25/19,Reached
AC543369,4/2/19,Not Reached
AC552802,4/20/19,Not Reached
AC544787,4/8/19,Reached
AC537935,4/18/19,Reached
AC511467,4/10/19,Not Reached
AC510374,4/18/19,Not Reached
AC539301,4/8/19,Not Reached
AC552209,4/15/19,Not Reached
AC513959,5/3/19,Not Reached
AC529879,4/9/19,Not Reached
AC530808,4/17/19,Not Reached
AC498886,4/2/19,Reached
AC564698,4/3/19,Not Reached
AC518674,4/8/19,Reached
AC545184,4/15/19,Reached
AC512829,4/2/19,Not Reached
AC510606,4/8/19,Reached
AC504530,4/10/19,Not Reached
AC536496,4/4/19,Not Reached
