Accounts Account Status,Accounts Angaza ID,Accounts Area,Accounts Country,Accounts Date of Disablement Utc Date,Accounts Date of Latest Payment Utc Date,Accounts Date of Registration Date,Accounts Days Disabled,Accounts Days to Cutoff,Accounts Disabled (Yes / No),Accounts Minimum Payment Amount,Accounts Minimum Payment Amount USD,Accounts Price per Day,Accounts Price per Day USD,Accounts Product Name,Accounts Region,Accounts Registering User Angaza ID,Accounts Unit Age Days,Accounts Unit Proportional Age,Accounts Unlock Price,Accounts Unlock Price USD,Accounts Upfront Days Included,Accounts Upfront Price,Accounts Upfront Price USD,Accounts Zone
DISABLED,AC524870,Moyo,Uganda,9/16/19,9/14/19,5/31/18,3,-3.17,Yes,550,0.146284377,560,0.15,Pro,Nyanza,US010662,476,1.7,"195,080",52,7,"43,900",11.70275015,West
ENABLED,AC514236,Songwe,Tanzania,9/21/19,9/18/19,5/22/18,,2.3,No,1350,0.585137507,1360,0.59,Home 120 Plus + Radio,South Rift,US018144,485,1.7,"425,675",185,7,"58,300",25.35595865,West
UNLOCKED,AC497334,Embu,Kenya,,5/9/18,5/9/18,,,No,0,0,0,,Boom,Nairobi,US019955,498,,"4,815",47,0,"4,800",46.81100059,East
DISABLED,AC522711,Abuja,Nigeria,12/25/18,12/22/18,5/29/18,268,-267.63,Yes,70,0.195045836,70,0.2,Boom,Western,US014038,478,1.7,"23,695",65,7,"4,300",11.70275015,West
UNLOCKED,AC543397,Keroka,Kenya,,6/14/18,6/14/18,,,No,0,0,0,,Home 120,West West,US023059,462,,"13,520",132,7,"13,500",131.618635,
DISABLED,AC521067,Ibanda,Uganda,9/5/19,9/4/19,5/28/18,13,-13.02,Yes,730,0.195045836,750,0.2,Boom,Rift Valley,US020793,479,1.7,"243,850",65,7,"43,900",11.70275015,East
DISABLED,AC488160,Busia UG,Uganda,9/18/19,9/17/19,5/3/18,1,-1.01,Yes,1650,0.43885313,1650,0.44,Home 60 + Radio,North Rift,US007519,504,1.8,"517,705",138,7,"69,500",18.5293544,East
ENABLED,AC538626,Bauchi,Nigeria,9/20/19,9/18/19,6/11/18,,2.2,No,160,0.43885313,160,0.44,Home 60 + Radio,Coast,US019337,465,1.7,"50,305",138,7,"6,800",18.5293544,East
DISABLED,AC515850,Pyay,Myanmar (Burma),4/4/19,3/22/19,5/23/18,168,-167.76,Yes,380,0.240051211,380,0.24,Boom,Northern,US021300,484,1.7,"119,300",76,7,"16,700",10.66894271,
UNLOCKED,AC526573,Mwanza,Tanzania,,2/26/19,6/1/18,,,No,450,0.195045836,460,0.2,Boom,Central,US014637,475,1.7,"149,560",65,7,"26,900",11.70275015,West
UNLOCKED,AC503424,Moyo,Uganda,,2/25/19,5/14/18,,,No,730,0.195045836,750,0.2,Boom,Nyanza,US009673,493,1.8,"243,850",65,7,"43,900",11.70275015,West
UNLOCKED,AC514463,Bomet,Kenya,,5/22/18,5/22/18,,,No,1280,12.5121646,0,,Home 40-Z,UP,US018473,485,,"5,430",53,0,"1,300",12.5121646,
DISABLED,AC564212,Kyotera,Uganda,3/26/19,3/24/19,6/29/18,176,-175.99,Yes,730,0.195045836,750,0.2,Boom,Nyanza,US017243,447,1.6,"243,850",65,7,"43,900",11.70275015,West
DISABLED,AC553344,Mbita,Kenya,9/19/19,9/17/19,6/22/18,0,-0.01,Yes,40,0.43885313,50,0.44,Home 60 + Radio,Western,US009015,454,1.6,"14,135",138,7,"1,900",18.5293544,West
DISABLED,AC485170,Songwe,Tanzania,11/4/18,10/29/18,5/1/18,319,-318.85,Yes,450,0.195045836,460,0.2,Boom,South Rift,US011584,506,1.8,"149,560",65,7,"26,900",11.70275015,West
ENABLED,AC494926,Abuja,Nigeria,9/19/19,9/18/19,5/8/18,,1.09,No,160,0.43885313,160,0.44,Home 60 + Radio,Western,US011720,499,1.8,"50,305",138,7,"6,800",18.5293544,West
UNLOCKED,AC522232,Nebbi,Uganda,,8/25/19,5/29/18,,,No,730,0.195045836,750,0.2,Boom,South Nyanza,US019432,478,1.7,"243,850",65,7,"43,900",11.70275015,West
UNLOCKED,AC497436,Bago,Myanmar (Burma),,4/7/19,5/9/18,,,No,540,0.341330213,530,0.34,Home 60 + Radio,Central,US003871,498,1.3,"224,475",143,7,"29,100",18.5293544,West
UNLOCKED,AC536462,Abuja,Nigeria,,4/6/19,6/9/18,,,No,210,0.585137507,220,0.59,Home 120 Plus + Radio,Western,US008889,467,1.7,"67,435",185,7,"9,200",25.35595865,West
UNLOCKED,AC520928,Mwingi,Kenya,,4/29/19,5/28/18,,,No,40,0.43885313,50,0.44,Home 60 + Radio,Central,US007103,479,1.7,"14,135",138,7,"1,900",18.5293544,West
UNLOCKED,AC489544,Masaka,Uganda,,3/4/19,5/4/18,,,No,600,0.160034141,600,0.16,Pro,Western,US011120,503,1.8,"202,580",54,7,"40,000",10.66894271,
DISABLED,AC546451,Mbeya,Tanzania,9/17/19,9/16/19,6/17/18,1,-1.01,Yes,1010,0.43885313,1010,0.44,Home 60 + Radio,South Nyanza,US017280,459,1.6,"317,530",138,7,"42,600",18.5293544,West
UNLOCKED,AC525013,Maua,Kenya,,7/2/19,5/31/18,,,No,20,0.195045836,20,0.2,Boom,South Rift,US016009,476,1.7,"6,655",65,7,"1,200",11.70275015,West
UNLOCKED,AC507936,Mityana,Uganda,,5/17/18,5/17/18,,,No,0,0,0,,Home 120 Plus + Radio,Northern,US019898,490,,"649,010",173,7,"650,400",173.370319,
UNLOCKED,AC500883,Masasi,Tanzania,,9/12/19,5/11/18,,,No,1010,0.43885313,1010,0.44,Home 60 + Radio,Central,US021690,496,1.8,"317,530",138,7,"42,600",18.5293544,West
DISABLED,AC544297,Nebbi,Uganda,7/26/19,7/25/19,6/15/18,54,-54.01,Yes,1650,0.43885313,1650,0.44,Home 60 + Radio,South Nyanza,US001266,461,1.6,"517,705",138,7,"69,500",18.5293544,West
UNLOCKED,AC528451,Busia UG,Uganda,,9/1/19,6/4/18,,,No,1650,0.43885313,1650,0.44,Home 60 + Radio,North Rift,US014450,472,1.7,"517,705",138,7,"69,500",18.5293544,East
UNLOCKED,AC497776,Tororo,Uganda,,1/11/19,5/9/18,,,No,1040,0.278048102,1050,0.28,Home 40-Z,UP,US021375,498,2.5,"236,345",63,14,"46,900",12.5121646,
DISABLED,AC516662,Webuye,Kenya,5/7/19,5/6/19,5/24/18,134,-133.96,Yes,40,0.391338377,40,0.43,Home 60,Lake Zone,US001118,483,1.9,"12,495",122,7,"1,600",15.21871467,
DISABLED,AC545259,Kimilili,Kenya,9/16/19,9/5/19,6/16/18,2,-2.04,Yes,40,0.43885313,50,0.44,Home 60 + Radio,Nairobi,US021522,460,1.6,"14,135",138,7,"1,900",18.5293544,East
UNLOCKED,AC521480,Mombasa,Kenya,,5/28/18,5/28/18,,,No,0,0,0,,Home 120,West West,US014371,479,,"13,520",132,7,"13,500",131.618635,
UNLOCKED,AC531469,Narok,Kenya,,5/22/19,6/6/18,,,No,40,0.434820419,40,0.43,Home 60 + Radio,Coastal,US022404,470,1.6,"14,340",140,14,"2,200",21.74102096,
UNLOCKED,AC553571,Mbita,Kenya,,4/28/19,6/22/18,,,No,70,0.682660425,70,0.68,Home 120 Plus + Radio,Western,US008995,454,1.6,"23,660",231,7,"4,600",44.86054223,West
DISABLED,AC489520,Ukunda,Kenya,8/5/18,8/3/18,5/4/18,410,-409.81,Yes,40,0.43885313,50,0.44,Home 60 + Radio,Western,US014460,503,1.8,"14,135",138,7,"1,900",18.5293544,West
DISABLED,AC563900,Bariadi,Tanzania,8/13/18,8/11/18,6/29/18,402,-401.76,Yes,450,0.195045836,460,0.2,Boom,North Rift,US018009,447,1.6,"149,560",65,7,"26,900",11.70275015,East
DISABLED,AC546994,Soroti,Uganda,9/16/19,9/14/19,6/18/18,3,-3.01,Yes,2200,0.585137507,2210,0.59,Home 120 Plus + Radio,Western,US022542,458,1.6,"694,030",185,7,"95,100",25.35595865,West
ENABLED,AC510783,Moyo,Uganda,9/19/19,9/16/19,5/19/18,,0.86,No,1650,0.43885313,1650,0.44,Home 60 + Radio,Nyanza,US003187,488,1.7,"517,705",138,7,"69,500",18.5293544,West
DISABLED,AC547594,Bariadi,Tanzania,8/24/19,8/21/19,6/18/18,25,-25.15,Yes,340,0.146284377,350,0.15,Pro,North Rift,US015735,458,1.6,"119,650",52,7,"26,900",11.70275015,East
DISABLED,AC544292,Mbeya,Tanzania,9/16/19,9/15/19,6/15/18,2,-2.06,Yes,1010,0.43885313,1010,0.44,Home 60 + Radio,South Nyanza,US016485,461,1.6,"317,530",138,7,"42,600",18.5293544,West
UNLOCKED,AC503562,Moyo,Uganda,,2/9/19,5/14/18,,,No,2200,0.585137507,2210,0.59,Home 120 Plus + Radio,Nyanza,US007626,493,1.8,"694,030",185,7,"95,100",25.35595865,West
UNLOCKED,AC499495,Tabora,Tanzania,,4/7/19,5/10/18,,,No,1010,0.43885313,1010,0.44,Home 60 + Radio,Coast,US016483,497,1.8,"317,530",138,7,"42,600",18.5293544,East
DISABLED,AC560019,Babati,Tanzania,7/14/19,7/7/19,6/27/18,66,-66.02,Yes,1010,0.43885313,1010,0.44,Home 60 + Radio,Central,US016786,449,1.6,"317,530",138,7,"42,600",18.5293544,West
UNLOCKED,AC533618,Moyo,Uganda,,6/7/18,6/7/18,,,No,0,0,0,,Home 60 + Radio,Nyanza,US007555,469,,"348,890",93,0,"347,600",92.64677199,West
UNLOCKED,AC510246,Lugari,Kenya,,3/28/19,5/18/18,,,No,70,0.652230629,70,0.65,Home 120 + Radio,South,US021724,489,1.7,"20,895",204,14,"2,700",26.08922515,
UNLOCKED,AC519020,Ukunda,Kenya,,3/20/19,5/26/18,,,No,40,0.43885313,50,0.44,Home 60 + Radio,Western,US011466,481,1.7,"14,135",138,7,"1,900",18.5293544,West
UNLOCKED,AC554169,Kapsabet,Kenya,,7/22/19,6/22/18,,,No,20,0.240051211,20,0.24,Boom,Western,US011143,454,1.6,"7,785",76,7,"1,100",10.66894271,
UNLOCKED,AC545372,Kyotera,Uganda,,2/21/19,6/16/18,,,No,550,0.146284377,560,0.15,Pro,Nyanza,US017283,460,1.6,"195,080",52,7,"43,900",11.70275015,West
UNLOCKED,AC512217,Nyeri,Kenya,,3/2/19,5/20/18,,,No,40,0.43885313,50,0.44,Home 60 + Radio,Rift Valley,US020012,487,1.7,"14,135",138,7,"1,900",18.5293544,East
UNLOCKED,AC551978,Kitui,Kenya,,3/23/19,6/21/18,,,No,20,0.195045836,20,0.2,Boom,Rift Valley,US018486,455,1.6,"6,655",65,7,"1,200",11.70275015,East
UNLOCKED,AC486110,Matunda,Kenya,,9/5/19,5/2/18,,,No,40,0.43885313,50,0.44,Home 60 + Radio,North Rift,US011114,505,1.8,"14,135",138,7,"1,900",18.5293544,East
DISABLED,AC526328,Mbarara,Uganda,1/10/19,1/9/19,6/1/18,252,-251.73,Yes,1280,0.341330213,1280,0.34,Home 60 + Radio,Central,US020682,475,1.3,"536,465",143,7,"69,500",18.5293544,West
UNLOCKED,AC534891,Moyo,Uganda,,6/8/18,6/8/18,,,No,0,0,0,,Pro,Nyanza,US011792,468,,"142,555",38,7,"142,700",38.03393798,West
UNLOCKED,AC491369,Malindi,Kenya,,2/11/19,5/6/18,,,No,40,0.43885313,50,0.44,Home 60 + Radio,Nyanza,US016067,501,1.8,"14,135",138,7,"1,900",18.5293544,West
UNLOCKED,AC562959,Matunda,Kenya,,3/29/19,6/29/18,,,No,40,0.43885313,50,0.44,Home 60 + Radio,North Rift,US017533,447,1.6,"14,135",138,7,"1,900",18.5293544,East
ENABLED,AC485336,Taita Taveta,Kenya,9/20/19,9/18/19,5/1/18,,1.99,No,40,0.43885313,50,0.44,Home 60 + Radio,Coast,US013456,506,1.8,"14,135",138,7,"1,900",18.5293544,East
UNLOCKED,AC556309,Nakuru,Kenya,,4/18/19,6/24/18,,,No,20,0.195045836,20,0.2,Boom,South Rift,US009511,452,1.6,"6,655",65,7,"1,200",11.70275015,West
DISABLED,AC519816,Port Victoria,Kenya,6/26/19,6/20/19,5/27/18,85,-85.02,Yes,40,0.391338377,40,0.39,Home 60,Coastal,US017077,480,1.7,"12,495",122,7,"1,600",15.21871467,
DISABLED,AC563144,Taita Taveta,Kenya,9/13/19,9/10/19,6/29/18,5,-5.06,Yes,40,0.43885313,50,0.44,Home 60 + Radio,Coast,US011455,447,1.6,"14,135",138,7,"1,900",18.5293544,East
UNLOCKED,AC496746,Arua,Uganda,,5/8/18,5/8/18,,,No,0,0,0,,Home 120 Plus + Radio,Coast,US016850,499,,"547,720",146,0,"548,800",146.2843768,East
UNLOCKED,AC552909,Rukpokwu,Nigeria,,9/17/19,6/22/18,,,No,210,0.585137507,220,0.59,Home 120 Plus + Radio,South Nyanza,US011742,454,1.6,"67,435",185,7,"9,200",25.35595865,West
UNLOCKED,AC534119,Kampala,Uganda,,2/23/19,6/7/18,,,No,1650,0.43885313,1650,0.44,Home 60 + Radio,Eastern,US022466,469,1.7,"517,705",138,7,"69,500",18.5293544,East
UNLOCKED,AC552983,Mbeya,Tanzania,,4/13/19,6/22/18,,,No,1010,0.43885313,1010,0.44,Home 60 + Radio,South Nyanza,US016485,454,1.6,"317,530",138,7,"42,600",18.5293544,West
DISABLED,AC490986,Kiserian,Kenya,5/4/19,4/30/19,5/6/18,137,-137.01,Yes,40,0.43885313,50,0.44,Home 60 + Radio,Nyanza,US018525,501,1.8,"14,135",138,7,"1,900",18.5293544,West
DISABLED,AC537764,Maua,Kenya,3/12/19,3/11/19,6/10/18,190,-190.49,Yes,40,0.43885313,50,0.44,Home 60 + Radio,South Rift,US020430,466,1.7,"14,135",138,7,"1,900",18.5293544,West
UNLOCKED,AC560707,Mafinga,Tanzania,,6/27/18,6/27/18,,,No,0,0,0,,Pro,Central,US023779,449,,"82,835",36,7,"82,900",36.00768164,
UNLOCKED,AC563493,Webuye,Kenya,,8/22/19,6/29/18,,,No,20,0.21741021,20,0.22,Boom,Lake Zone,US018802,447,1.6,"6,965",68,7,900,8.696408383,
UNLOCKED,AC510011,Mbeya,Tanzania,,12/21/18,5/18/18,,,No,1350,0.585137507,1360,0.59,Home 120 Plus + Radio,South Nyanza,US002554,489,1.7,"425,675",185,7,"58,300",25.35595865,West
UNLOCKED,AC501201,Bago,Myanmar (Burma),,7/20/19,5/12/18,,,No,540,0.341330213,530,0.34,Home 60 + Radio,Central,US006712,495,1.3,"224,475",143,7,"29,100",18.5293544,West
DISABLED,AC485360,Ukunda,Kenya,9/13/19,9/9/19,5/1/18,5,-5.02,Yes,40,0.43885313,50,0.44,Home 60 + Radio,Western,US000571,506,1.8,"14,135",138,7,"1,900",18.5293544,West
UNLOCKED,AC523553,Gulu,Uganda,,3/2/19,5/30/18,,,No,1650,0.43885313,1650,0.44,Home 60 + Radio,Nyanza,US019430,477,1.7,"517,705",138,7,"69,500",18.5293544,West
UNLOCKED,AC503798,Mutomo,Kenya,,5/14/18,5/14/18,,,No,0,0,0,,Home 120,West East,US011096,493,,"13,520",132,7,"13,500",131.618635,
UNLOCKED,AC536698,Masindi,Uganda,,1/3/19,6/9/18,,,No,550,0.146284377,560,0.15,Pro,South Nyanza,US008556,467,1.7,"195,080",52,7,"43,900",11.70275015,West
UNLOCKED,AC529312,Mbeya,Tanzania,,7/23/19,6/4/18,,,No,1010,0.43885313,1010,0.44,Home 60 + Radio,South Nyanza,US001499,472,1.7,"317,530",138,7,"42,600",18.5293544,West
ENABLED,AC534508,Tharawaddy,Myanmar (Burma),9/29/19,8/30/19,6/8/18,,9.6,No,180,0.11148272,170,0.11,Boom,Bago,US010621,468,0.8,"102,035",65,14,"6,000",3.822264692,
ENABLED,AC525065,Port Victoria,Kenya,9/21/19,9/16/19,5/31/18,,2.96,No,20,0.173928168,20,0.17,Pro,Coastal,US005425,476,1.7,"5,735",56,7,900,8.696408383,
DISABLED,AC563964,Mbita,Kenya,8/1/19,7/25/19,6/29/18,48,-48.12,Yes,40,0.43885313,50,0.44,Home 60 + Radio,Western,US002985,447,1.6,"14,135",138,7,"1,900",18.5293544,West
DISABLED,AC506770,Bago,Myanmar (Burma),9/18/19,9/17/19,5/16/18,0,-0.01,Yes,540,0.341330213,530,0.34,Home 60 + Radio,Central,US005905,491,1.3,"224,475",143,7,"29,100",18.5293544,West
UNLOCKED,AC503966,Magway,Myanmar (Burma),,4/30/19,5/14/18,,,No,450,0.287915764,460,0.29,Boom,No RBM,US003895,493,2.6,"103,605",66,7,"21,500",13.71027448,
UNLOCKED,AC536795,Kapcherop,Kenya,,6/9/18,6/9/18,,,No,0,0,0,,Pro,Northern,US022071,467,,"3,685",36,7,"3,700",36.00768164,
UNLOCKED,AC540603,Katito,Kenya,,4/28/19,6/12/18,,,No,40,0.391338377,40,0.39,Home 60,Lake Zone,US014307,464,1.7,"12,495",122,7,"1,600",15.21871467,
UNLOCKED,AC528606,Mukono,Uganda,,3/9/19,6/4/18,,,No,1650,0.43885313,1650,0.44,Home 60 + Radio,South Rift,US007588,472,1.7,"517,705",138,7,"69,500",18.5293544,West
UNLOCKED,AC492412,Jinja,Uganda,,5/14/19,5/7/18,,,No,1630,0.434820419,1610,0.43,Home 60,South,US005651,500,2,"457,685",122,7,"57,100",15.21871467,
UNLOCKED,AC489976,Kimilili,Kenya,,3/20/19,5/5/18,,,No,60,0.585137507,60,0.59,Home 120 Plus + Radio,Nairobi,US020871,502,1.8,"18,950",185,7,"2,600",25.35595865,East
DISABLED,AC544345,Busia UG,Uganda,12/29/18,12/24/18,6/15/18,264,-263.74,Yes,730,0.195045836,750,0.2,Boom,North Rift,US019848,461,1.6,"243,850",65,7,"43,900",11.70275015,East
UNLOCKED,AC532045,Abuja,Nigeria,,4/5/19,6/6/18,,,No,50,0.146284377,50,0.15,Pro,Western,US020779,470,1.7,"18,955",52,7,"4,300",11.70275015,West
DISABLED,AC498309,Kimilili,Kenya,7/20/19,7/19/19,5/9/18,60,-60.02,Yes,40,0.43885313,50,0.44,Home 60 + Radio,Nairobi,US018413,498,1.8,"14,135",138,7,"1,900",18.5293544,East
UNLOCKED,AC536409,Masindi,Uganda,,4/10/19,6/9/18,,,No,1650,0.43885313,1650,0.44,Home 60 + Radio,South Nyanza,US015877,467,1.7,"517,705",138,7,"69,500",18.5293544,West
DISABLED,AC501516,Nyandarua,Kenya,11/11/18,11/9/18,5/12/18,312,-311.73,Yes,70,0.666808919,70,0.67,Home 120 Plus + Radio,Western,US003241,495,1.3,"28,270",276,7,"3,400",33.34044596,
UNLOCKED,AC553405,Abuja,Nigeria,,8/7/19,6/22/18,,,No,160,0.43885313,160,0.44,Home 60 + Radio,Western,US023164,454,1.6,"50,305",138,7,"6,800",18.5293544,West
DISABLED,AC535848,Abuja,Nigeria,9/3/19,9/2/19,6/8/18,15,-15.01,Yes,70,0.195045836,70,0.2,Boom,Western,US014038,468,1.7,"23,695",65,7,"4,300",11.70275015,West
DISABLED,AC529480,Busia,Kenya,9/17/19,9/15/19,6/4/18,1,-1.18,Yes,40,0.43885313,50,0.44,Home 60 + Radio,Western,US003930,472,1.7,"14,135",138,7,"1,900",18.5293544,West
UNLOCKED,AC557038,Delta,Nigeria,,7/30/19,6/25/18,,,No,70,0.195045836,70,0.2,Boom,North Rift,US022502,451,1.6,"23,695",65,7,"4,300",11.70275015,East
DISABLED,AC507072,Kyotera,Uganda,9/10/19,9/9/19,5/16/18,8,-8.04,Yes,1650,0.43885313,1650,0.44,Home 60 + Radio,Nyanza,US009011,491,1.8,"517,705",138,7,"69,500",18.5293544,West
DISABLED,AC542471,Singida,Tanzania,9/17/19,9/16/19,6/13/18,1,-1.08,Yes,900,0.391338377,900,0.39,Home 60,Lake Zone,US003950,463,1.7,"280,715",122,7,"35,000",15.21871467,
DISABLED,AC516663,Mbita,Kenya,9/17/19,9/16/19,5/24/18,1,-1.21,Yes,40,0.43885313,50,0.44,Home 60 + Radio,Western,US009672,483,1.7,"14,135",138,7,"1,900",18.5293544,West
DISABLED,AC502497,Kilifi,Kenya,9/14/19,9/10/19,5/13/18,5,-5.01,Yes,70,0.652230629,70,0.65,Home 120 + Radio,South,US021681,494,1.7,"20,895",204,14,"2,700",26.08922515,
DISABLED,AC523044,Port Victoria,Kenya,7/21/19,7/20/19,5/30/18,60,-60.03,Yes,70,0.652230629,70,0.65,Home 120 + Radio,Coastal,US005425,477,1.7,"20,895",204,14,"2,700",26.08922515,
UNLOCKED,AC552160,Phyapone,Myanmar (Burma),,6/23/19,6/21/18,,,No,340,0.21741021,350,0.22,Boom,Southern Highlands,US021160,455,1.6,"106,745",68,7,"13,700",8.696408383,
UNLOCKED,AC509981,Muhoroni,Kenya,,2/24/19,5/18/18,,,No,40,0.434820419,40,0.43,Home 60,Coastal,US007656,489,1.9,"12,495",122,7,"1,600",15.21871467,
UNLOCKED,AC523771,Nyeri,Kenya,,5/30/19,5/30/18,,,No,40,0.43885313,50,0.44,Home 60 + Radio,Rift Valley,US014730,477,1.7,"14,135",138,7,"1,900",18.5293544,East
UNLOCKED,AC517483,Mumias,Kenya,,3/25/19,5/24/18,,,No,40,0.434820419,40,0.43,Home 60 + Radio,Southern Highlands,US015163,483,1.7,"14,340",140,14,"2,200",21.74102096,
UNLOCKED,AC561657,Abuja,Nigeria,,4/28/19,6/28/18,,,No,70,0.195045836,70,0.2,Boom,Western,US020948,448,1.6,"23,695",65,7,"4,300",11.70275015,West
DISABLED,AC539095,Gyobingauk,Myanmar (Burma),9/16/19,9/15/19,6/11/18,2,-2.01,Yes,310,0.195045836,310,0.2,Boom,Rift Valley,US011702,465,1.7,"102,035",65,7,"18,400",11.70275015,East
UNLOCKED,AC492594,Lira,Uganda,,3/12/19,5/7/18,,,No,1650,0.43885313,1650,0.44,Home 60 + Radio,South Nyanza,US016294,500,1.8,"517,705",138,7,"69,500",18.5293544,West
UNLOCKED,AC510754,Kampala,Uganda,,5/16/19,5/19/18,,,No,1650,0.43885313,1650,0.44,Home 60 + Radio,Eastern,US004516,488,1.7,"517,705",138,7,"69,500",18.5293544,East
ENABLED,AC545766,Malindi,Kenya,9/19/19,9/18/19,6/16/18,,0.99,No,20,0.195045836,20,0.2,Boom,Nyanza,US020801,460,1.6,"6,655",65,7,"1,200",11.70275015,West
UNLOCKED,AC513679,Singida,Tanzania,,2/17/19,5/22/18,,,No,900,0.391338377,900,0.39,Home 60,Lake Zone,US021556,485,1.7,"280,715",122,7,"35,000",15.21871467,
UNLOCKED,AC501300,Kampala,Uganda,,2/6/19,5/12/18,,,No,2200,0.585137507,2210,0.59,Home 120 Plus + Radio,Eastern,US019121,495,1.8,"694,030",185,7,"95,100",25.35595865,East
UNLOCKED,AC544220,Nebbi,Uganda,,6/15/18,6/15/18,,,No,0,0,0,,Non_EasyBuy + Stove,South Nyanza,US023025,461,,"142,555",38,7,"142,700",38.03393798,West
UNLOCKED,AC558020,Saboti,Kenya,,5/9/19,6/26/18,,,No,60,0.585137507,60,0.59,Home 120 Plus + Radio,Eastern,US022264,450,1.6,"18,950",185,7,"2,600",25.35595865,East
UNLOCKED,AC529788,Ibanda,Uganda,,5/5/19,6/5/18,,,No,1650,0.43885313,1650,0.44,Home 60 + Radio,Rift Valley,US020099,471,1.7,"517,705",138,7,"69,500",18.5293544,East
UNLOCKED,AC559756,Siaya,Kenya,,6/21/19,6/27/18,,,No,40,0.43885313,50,0.44,Home 60 + Radio,Eastern,US017525,449,1.6,"14,135",138,7,"1,900",18.5293544,East
UNLOCKED,AC486059,Kyotera,Uganda,,12/26/18,5/2/18,,,No,550,0.146284377,560,0.15,Pro,Nyanza,US010495,505,1.8,"195,080",52,7,"43,900",11.70275015,West
UNLOCKED,AC541991,Mumias,Kenya,,6/13/18,6/13/18,,,No,0,0,0,,Home 120 + Radio,Southern Highlands,US008329,463,,"16,080",157,7,"16,000",156.5353509,
UNLOCKED,AC548684,Arua,Uganda,,6/22/19,6/19/18,,,No,730,0.195045836,750,0.2,Boom,Coast,US010397,457,1.6,"243,850",65,7,"43,900",11.70275015,East
ENABLED,AC565477,Kano,Nigeria,9/20/19,9/18/19,6/30/18,,1.87,No,160,0.434820419,160,0.43,Home 60 + Radio,Northern,US007094,446,1.6,"51,030",140,14,"7,900",21.74102096,
UNLOCKED,AC543298,Phyapone,Myanmar (Burma),,4/18/19,6/14/18,,,No,340,0.21741021,350,0.22,Boom,Southern Highlands,US021160,462,1.6,"106,745",68,7,"13,700",8.696408383,
ENABLED,AC559301,Lira,Uganda,9/25/19,9/12/19,6/26/18,,7.15,No,550,0.146284377,560,0.15,Pro,South Nyanza,US021542,450,1.6,"195,080",52,7,"43,900",11.70275015,West
ENABLED,AC525597,Handeni,Tanzania,9/19/19,9/18/19,6/1/18,,1.07,No,1350,0.585137507,1360,0.59,Home 120 Plus + Radio,North Rift,US017618,475,1.7,"425,675",185,7,"58,300",25.35595865,East
UNLOCKED,AC562390,Mwingi,Kenya,,4/5/19,6/28/18,,,No,20,0.195045836,20,0.2,Boom,Central,US022501,448,1.6,"6,655",65,7,"1,200",11.70275015,West
UNLOCKED,AC526358,Mukono,Uganda,,5/20/19,6/1/18,,,No,2200,0.585137507,2210,0.59,Home 120 Plus + Radio,South Rift,US008525,475,1.7,"694,030",185,7,"95,100",25.35595865,West
UNLOCKED,AC525878,Rukpokwu,Nigeria,,3/31/19,6/1/18,,,No,70,0.195045836,70,0.2,Boom,South Nyanza,US003186,475,1.7,"23,695",65,7,"4,300",11.70275015,West
DISABLED,AC537839,Handeni,Tanzania,6/4/19,6/3/19,6/10/18,106,-106.43,Yes,1350,0.585137507,1360,0.59,Home 120 Plus + Radio,North Rift,US013825,466,1.7,"425,675",185,7,"58,300",25.35595865,East
UNLOCKED,AC516976,Kampala,Uganda,,7/11/19,5/24/18,,,No,550,0.146284377,560,0.15,Pro,Eastern,US010785,483,1.7,"195,080",52,7,"43,900",11.70275015,East
UNLOCKED,AC546917,Karatu,Tanzania,,7/10/19,6/17/18,,,No,1350,0.585137507,1360,0.59,Home 120 Plus + Radio,Nyanza,US017343,459,1.6,"425,675",185,7,"58,300",25.35595865,West
ENABLED,AC558765,Busia,Kenya,9/25/19,9/18/19,6/26/18,,6.52,No,20,0.195045836,20,0.2,Boom,Western,US014634,450,1.6,"6,655",65,7,"1,200",11.70275015,West
UNLOCKED,AC491101,Bauchi,Nigeria,,2/21/19,5/6/18,,,No,160,0.43885313,160,0.44,Home 60 + Radio,Coast,US016499,501,1.8,"50,305",138,7,"6,800",18.5293544,East
DISABLED,AC502200,Benin,Nigeria,9/18/19,9/17/19,5/13/18,0,-0.07,Yes,160,0.43885313,160,0.44,Home 60 + Radio,Rift Valley,US016103,494,1.8,"50,305",138,7,"6,800",18.5293544,East
UNLOCKED,AC526930,Webuye,Kenya,,4/15/19,6/2/18,,,No,40,0.391338377,40,0.39,Home 60,Lake Zone,US009452,474,1.7,"12,495",122,7,"1,600",15.21871467,
UNLOCKED,AC517131,Kampala,Uganda,,7/31/19,5/24/18,,,No,1650,0.43885313,1650,0.44,Home 60 + Radio,Eastern,US008812,483,1.7,"517,705",138,7,"69,500",18.5293544,East
UNLOCKED,AC537136,Bariadi,Tanzania,,4/10/19,6/9/18,,,No,1350,0.585137507,1360,0.59,Home 120 Plus + Radio,North Rift,US005567,467,1.7,"425,675",185,7,"58,300",25.35595865,East
UNLOCKED,AC549306,Bauchi,Nigeria,,7/28/18,6/19/18,,,No,50,0.146284377,50,0.15,Pro,Coast,US015715,457,1.6,"18,955",52,7,"4,300",11.70275015,East
UNLOCKED,AC518729,Busia,Kenya,,8/6/19,5/25/18,,,No,60,0.585137507,60,0.59,Home 120 Plus + Radio,Western,US017538,482,1.7,"18,950",185,7,"2,600",25.35595865,West
