Accounts Account Status,Accounts Angaza ID,Accounts Area,Accounts Country,Accounts Date of Disablement Utc Date,Accounts Date of Latest Payment Utc Date,Accounts Date of Registration Date,Accounts Days Disabled,Accounts Days to Cutoff,Accounts Disabled (Yes / No),Accounts Minimum Payment Amount,Accounts Minimum Payment Amount USD,Accounts Price per Day,Accounts Price per Day USD,Accounts Product Name,Accounts Region,Accounts Registering User Angaza ID,Accounts Unit Age Days,Accounts Unit Proportional Age,Accounts Unlock Price,Accounts Unlock Price USD,Accounts Upfront Days Included,Accounts Upfront Price,Accounts Upfront Price USD,Accounts Zone
UNLOCKED,AC493462,Malindi,Kenya,,2/26/19,5/8/18,,,No,40,0.43885313,50,0.44,Home 60 + Radio,Nyanza,US008679,499,1.8,"14,135",138,7,"1,900",18.5293544,West
UNLOCKED,AC545743,Mbita,Kenya,,6/16/18,6/16/18,,,No,0,0,0,,Home 120 Plus + Radio,Western,US003736,460,,"14,955",146,0,"15,000",146.2843768,West
UNLOCKED,AC550182,Abuja,Nigeria,,3/17/19,6/20/18,,,No,160,0.43885313,160,0.44,Home 60 + Radio,Western,US016530,456,1.6,"50,305",138,7,"6,800",18.5293544,West
DISABLED,AC512345,Phyapone,Myanmar (Burma),9/18/19,9/16/19,5/20/18,1,-1.03,Yes,680,0.434820419,670,0.43,Home 60 + Radio,Southern Highlands,US013652,487,1.7,"219,765",140,14,"34,100",21.74102096,
DISABLED,AC535295,Ukunda,Kenya,9/18/19,9/11/19,6/8/18,0,-0.16,Yes,40,0.43885313,50,0.44,Home 60 + Radio,Western,US009347,468,1.7,"14,135",138,7,"1,900",18.5293544,West
UNLOCKED,AC553666,Handeni,Tanzania,,8/9/19,6/22/18,,,No,1010,0.43885313,1010,0.44,Home 60 + Radio,North Rift,US017618,454,1.6,"317,530",138,7,"42,600",18.5293544,East
DISABLED,AC536615,Maua,Kenya,8/20/19,8/14/19,6/9/18,29,-29.01,Yes,40,0.43885313,50,0.44,Home 60 + Radio,South Rift,US011477,467,1.7,"14,135",138,7,"1,900",18.5293544,West
UNLOCKED,AC561041,Saboti,Kenya,,4/13/19,6/28/18,,,No,20,0.195045836,20,0.2,Boom,Eastern,US018257,448,1.6,"6,655",65,7,"1,200",11.70275015,East
UNLOCKED,AC526052,Nyamira,Kenya,,6/1/18,6/1/18,,,No,0,0,0,,Home 120 + Radio,Lake Zone,US008144,475,,"16,080",157,7,"16,000",156.5353509,
UNLOCKED,AC550545,Mityana,Uganda,,6/20/18,6/20/18,,,No,0,0,0,,Pro,Northern,US006175,456,,"135,055",36,7,"135,100",36.00768164,
DISABLED,AC555061,Lira,Uganda,9/11/19,9/10/19,6/23/18,7,-7.01,Yes,1650,0.43885313,1650,0.44,Home 60 + Radio,South Nyanza,US022115,453,1.6,"517,705",138,7,"69,500",18.5293544,West
DISABLED,AC498219,Moyo,Uganda,8/26/19,8/24/19,5/9/18,24,-24.08,Yes,1650,0.43885313,1650,0.44,Home 60 + Radio,Nyanza,US010245,498,1.8,"517,705",138,7,"69,500",18.5293544,West
DISABLED,AC523860,Mbarara,Uganda,7/1/18,5/30/18,5/30/18,445,-445.07,Yes,550,0.146284377,560,0.15,Boom,Central,US022145,477,1.3,"243,850",65,7,"43,900",11.70275015,West
UNLOCKED,AC530454,Salin,Myanmar (Burma),,6/5/18,6/5/18,,,No,0,0,0,,Boom,West East,US016382,471,,"86,335",55,7,"86,100",54.84109792,
DISABLED,AC556209,Phyapone,Myanmar (Burma),6/4/19,5/24/19,6/24/18,107,-106.52,Yes,610,0.391338377,610,0.39,Home 60,Southern Highlands,US022654,452,1.6,"191,510",122,7,"23,900",15.21871467,
